type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.274290000,8.879680000,568.2,2.3,5.769,13.12,,
T,48.274240000,8.879630000,568.4,3.0,5.776,6.68,,
T,48.274150000,8.879570000,568.6,2.0,5.787,10.95,,
T,48.273880000,8.879430000,571.1,7.7,5.818,31.77,,
T,48.273730000,8.879340000,571.9,4.8,5.836,17.97,,
T,48.273610000,8.879270000,572.6,4.8,5.851,14.32,,
T,48.273400000,8.879100000,573.1,1.8,5.877,26.54,,
T,48.273330000,8.879010000,573.0,-1.1,5.887,10.26,,
T,48.272910000,8.878660000,573.9,1.7,5.941,53.44,,
T,48.272880000,8.878610000,574.0,1.7,5.946,4.99,,
T,48.272860000,8.878580000,574.0,0.0,5.949,3.15,,
T,48.272780000,8.878500000,574.0,0.0,5.960,10.70,,
T,48.272630000,8.878350000,574.0,0.0,5.980,20.05,,
T,48.272620000,8.878340000,574.0,0.0,5.981,1.34,,
T,48.272440000,8.878140000,574.2,0.9,6.006,24.92,,
T,48.272330000,8.878020000,574.7,3.1,6.021,15.13,,
T,48.272220000,8.877900000,575.6,5.8,6.036,15.13,,
T,48.272110000,8.877780000,576.4,5.5,6.051,15.13,,
T,48.272020000,8.877670000,576.4,0.4,6.064,12.92,,
T,48.271930000,8.877560000,576.3,-1.4,6.077,12.92,,
T,48.271870000,8.877470000,576.2,-0.3,6.087,9.44,,
T,48.271840000,8.877430000,576.3,0.9,6.091,4.47,,
T,48.271780000,8.877390000,576.4,1.1,6.099,7.30,,
T,48.271730000,8.877280000,576.2,-2.0,6.108,9.88,,
T,48.271660000,8.877150000,576.0,-1.1,6.121,12.40,,
T,48.271480000,8.876820000,576.5,1.6,6.152,31.63,,
T,48.271280000,8.876440000,576.5,-0.2,6.188,35.92,,
T,48.271280000,8.876440000,576.5,,6.188,0.00,,
T,48.271580000,8.876080000,575.5,-2.2,6.231,42.74,,
T,48.271590000,8.876070000,575.5,-1.8,6.232,1.34,,
T,48.271740000,8.875950000,575.3,-1.3,6.251,18.91,,
T,48.271820000,8.875890000,575.4,1.4,6.261,9.95,,
T,48.271880000,8.875840000,575.6,2.2,6.269,7.63,,
T,48.272100000,8.875690000,575.8,0.9,6.296,26.88,,
T,48.272100000,8.875690000,575.8,,6.296,0.00,,
T,48.272050000,8.875180000,572.8,-7.9,6.334,38.26,,
T,48.271930000,8.874500000,571.0,-3.4,6.386,52.21,,
T,48.271760000,8.873380000,564.1,-8.1,6.472,85.26,,
